maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
272,"Henry, Joseph",Viola Bow,Paris,Tarisio,2014-10-17,85,59000.0,36884.0,46278.0,usd,68558,,,1,2.0,73.0,round,,,1,2.0,73.0,round,
272,"Henry, Joseph",Violin Bow,,Tarisio,2014-10-29,115,23241.0,14400.0,18196.0,gbp,66769,,,0,1.0,62.0,round,,,0,1.0,62.0,round,
2219,"Herrmann, August Friedrich",Violin Bow,,Tarisio,2018-10-29,56,730.0,570.0,642.0,gbp,85125,,,0,0.0,58.0,round,,,0,0.0,58.0,round,
1072,"Herrmann, Edwin Otto",Violin Bow,,Tarisio,2019-03-18,65,1351.0,1020.0,1190.0,gbp,86414,73.0,74.4,0,1.0,60.0,round,73.0,74.4,0,1.0,60.0,round,
1057,"Herrmann, Emil",Violin Bow,,Tarisio,2004-05-06,106,546.0,304.0,451.0,usd,5572,,,0,1.0,,,,,0,1.0,,,
7666,"Herrmann, Lothar Edwin",Viola Bow,,Tarisio,2020-03-24,37,483.0,413.0,448.0,gbp,92309,72.8,74.3,0,1.0,74.5,octagonal,72.8,74.3,0,1.0,74.5,octagonal,
1626,"Hill & Sons, W. E. Firm",Viola Bow,,Tarisio,2022-04-26,43,3523.0,2777.0,3300.0,eur,100953,73.4,74.9,0,1.0,71.0,octagonal,73.4,74.9,0,1.0,71.0,octagonal,
1626,"Hill & Sons, W. E. Firm",Viola Bow,,Tarisio,2020-11-13,40,2640.0,2006.0,2234.0,usd,94423,,,0,1.0,63.0,octagonal,,,0,1.0,63.0,octagonal,
1626,"Hill & Sons, W. E. Firm",Cello Bow,,Tarisio,2017-05-12,46,2760.0,2141.0,2527.0,usd,78845,70.1,71.6,0,1.0,81.0,round,70.1,71.6,0,1.0,81.0,round,
1626,"Hill & Sons, W. E. Firm",Viola Bow,,Tarisio,2015-05-16,65,4500.0,2861.0,3935.0,usd,72134,,,0,1.0,69.0,round,,,0,1.0,69.0,round,
7910,"Hovis, Keith W.",Cello Bow,,Tarisio,2019-03-01,3,960.0,723.0,842.0,usd,82261,,,0,1.0,77.0,octagonal,,,0,1.0,77.0,octagonal,
978,"Hoyer, Carl Adolf",Cello Bow,,Tarisio,2011-12-16,23,510.0,328.0,390.0,usd,24974,,,0,1.0,75.0,,,,0,1.0,75.0,,
978,"Hoyer, Carl Adolf",Violin Bow,Germany,Tarisio,2009-03-13,47,777.0,556.0,602.0,gbp,16985,,,0,1.0,56.0,,,,0,1.0,56.0,,
978,"Hoyer, Carl Adolf",Viola Bow,,Tarisio,2008-06-25,164,585.0,297.0,375.0,usd,15074,,,0,1.0,68.5,,,,0,1.0,68.5,,
2225,"Hoyer, Friedrich",Violin Bow,,Tarisio,2022-04-26,56,2050.0,1616.0,1920.0,eur,101198,73.0,74.3,0,2.0,66.0,octagonal,73.0,74.3,0,2.0,66.0,octagonal,
1521,"Hoyer, Otto A.",Violin Bow,,Tarisio,2022-10-25,42,1675.0,1458.0,1680.0,eur,103344,72.5,74.2,0,1.0,61.5,octagonal,72.5,74.2,0,1.0,61.5,octagonal,
1521,"Hoyer, Otto A.",Violin Bow,,Tarisio,2021-06-07,53,1105.0,780.0,909.0,gbp,96162,72.7,74.3,0,1.0,55.0,round,72.7,74.3,0,1.0,55.0,round,
1521,"Hoyer, Otto A.",Viola Bow,,Tarisio,2018-11-08,51,2832.0,2161.0,2476.0,usd,85693,72.5,74.0,0,1.0,65.0,octagonal,72.5,74.0,0,1.0,65.0,octagonal,
1521,"Hoyer, Otto A.",Violin Bow,,Tarisio,2016-10-14,100,1440.0,1179.0,1308.0,usd,76012,,,0,1.0,57.5,octagonal,,,0,1.0,57.5,octagonal,
1521,"Hoyer, Otto A.",Violin Bow,,Tarisio,2014-08-15,148,1680.0,998.0,1255.0,usd,67417,,,0,2.0,61.5,round,,,0,2.0,61.5,round,
1521,"Hoyer, Otto A.",Violin Bow,Markneukirchen,Tarisio,2013-05-03,91,1920.0,1234.0,1464.0,usd,64245,,,0,1.0,61.5,,,,0,1.0,61.5,,
15271,"Hudson, Reid",Violin Bow,,Tarisio,2018-02-22,50,1080.0,775.0,876.0,usd,82604,72.8,74.3,0,1.0,60.5,,72.8,74.3,0,1.0,60.5,,
15515,"Huipe, Miguel",Violin Bow,,Tarisio,2020-02-28,47,600.0,468.0,547.0,usd,91934,,,0,1.0,61.5,octagonal,,,0,1.0,61.5,octagonal,
881,"Hums, Albin",Violin Bow,Markneukirchen,Tarisio,2002-10-24,OB 10,1013.0,654.0,1040.0,usd,3700,,,0,1.0,55.5,,,,0,1.0,55.5,,
8009,"Husson, Charles Claude I",Viola Bow,,,2025-05-30,,9600.0,7122.0,8466.0,usd,128428,71.9,73.6,0,1.0,68.5,round,71.9,73.6,0,1.0,68.5,round,
8009,"Husson, Charles Claude I",Violin Bow,Paris,,2024-10-08,,7248.0,5529.0,6600.0,eur,123920,73.0,74.4,0,1.0,62.0,round,73.0,74.4,0,1.0,62.0,round,
8010,"Husson, Charles Claude II",Bass Bow,,Tarisio,2021-06-07,32,2211.0,1560.0,1818.0,gbp,96136,64.7,67.3,0,0.0,126.5,round,64.7,67.3,0,0.0,126.5,round,
